Store,IsHoliday,Dept,Weekly_Sales,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Unemployment,Type,Size,Year,Week,Next week,Next week predictions
42,0,11,912.49,2.91,2655.21,77.86,0.0,649.61,7.545,1,39690,2012,1,778.04,859.5158000000001
42,0,11,778.04,1251.87,2536.15,21.1,0.0,515.26,7.545,1,39690,2012,2,1026.34,868.6952999999997
42,0,11,1026.34,604.05,1982.9,0.0,0.0,343.93,7.545,1,39690,2012,3,1008.77,1071.8342000000005
42,0,11,1008.77,2.4,539.32,0.0,0.0,816.91,7.545,1,39690,2012,4,796.92,1046.0579000000005
42,0,11,796.92,1351.16,17.81,15.97,263.92,1415.88,7.545,1,39690,2012,5,1057.4,869.2165
42,1,11,1057.4,992.73,13.93,25.7,0.0,1700.95,7.545,1,39690,2012,6,989.07,1026.5516000000002
42,0,11,989.07,66.87,736.8,3.94,0.0,996.28,7.545,1,39690,2012,7,752.61,1071.3157
42,0,11,752.61,353.39,232.44,0.0,0.0,1644.66,7.545,1,39690,2012,8,924.27,851.8989999999998
42,0,11,924.27,441.4,10.78,1.96,0.0,1511.43,7.545,1,39690,2012,9,870.46,831.4674000000005
42,0,11,870.46,392.63,1.0,3.43,2.8,798.38,7.545,1,39690,2012,10,765.83,923.4559999999998
42,0,11,765.83,438.48,1.5,2.35,0.0,2251.09,7.545,1,39690,2012,11,609.86,887.3254999999991
42,0,11,609.86,2.43,0.0,0.68,0.0,796.25,7.545,1,39690,2012,12,903.36,947.3399000000007
42,0,11,903.36,341.0,1.5,0.0,21.94,1431.13,7.545,1,39690,2012,13,771.77,853.4754999999998
42,0,11,771.77,2.12,0.0,34.23,0.0,250.62,7.382,1,39690,2012,14,879.22,887.3638999999989
42,0,11,879.22,146.91,848.67,14.51,0.0,1191.9,7.382,1,39690,2012,15,1021.87,879.6285999999999
42,0,11,1021.87,82.23,169.55,16.1,0.0,642.71,7.382,1,39690,2012,16,845.66,1055.9243000000006
42,0,11,845.66,685.44,0.0,12.09,0.0,512.76,7.382,1,39690,2012,17,1040.03,909.6734999999991
42,0,11,1040.03,163.43,0.0,18.34,0.0,935.36,7.382,1,39690,2012,18,913.68,1067.3932000000002
42,0,11,913.68,312.29,0.0,4.0,0.0,1445.4,7.382,1,39690,2012,19,1075.76,821.8252999999995
42,0,11,1075.76,354.41,0.0,0.0,0.0,1393.17,7.382,1,39690,2012,20,884.45,1074.8943000000004
42,0,11,884.45,63.93,0.0,0.9,0.0,1169.65,7.382,1,39690,2012,21,737.58,819.429
42,0,11,737.58,609.75,0.0,1.1,43.67,726.34,7.382,1,39690,2012,22,975.02,1000.4775999999987
42,0,11,975.02,349.94,0.0,16.64,0.0,1272.21,7.382,1,39690,2012,23,822.84,1077.6807999999996
42,0,11,822.84,499.78,0.0,2.17,0.0,1187.29,7.382,1,39690,2012,24,934.23,859.8457999999996
42,0,11,934.23,44.66,0.0,0.0,0.0,1338.53,7.382,1,39690,2012,25,1171.6,930.0649000000002
42,0,11,1171.6,755.44,0.0,0.0,0.0,1062.46,7.382,1,39690,2012,26,1243.15,1057.9582
42,0,11,1243.15,156.49,0.0,9.43,0.0,876.53,7.17,1,39690,2012,27,1040.69,1089.1367000000005
42,0,11,1040.69,769.08,0.0,2.36,0.0,2678.63,7.17,1,39690,2012,28,811.02,1175.9806000000008
42,0,11,811.02,200.92,0.0,4.48,0.0,1026.11,7.17,1,39690,2012,29,546.27,871.265999999999
42,0,11,546.27,24.48,0.0,0.0,0.0,1660.33,7.17,1,39690,2012,30,896.3,953.1779000000009
42,0,11,896.3,0.0,0.0,5.97,0.0,628.99,7.17,1,39690,2012,31,1212.82,841.7696999999998
42,0,11,1212.82,69.32,0.0,18.08,0.0,353.19,7.17,1,39690,2012,32,1134.97,1028.4161000000008
42,0,11,1134.97,246.98,0.0,24.22,13.23,3098.22,7.17,1,39690,2012,33,1066.64,1055.2215000000006
42,0,11,1066.64,548.62,0.0,54.43,57.18,2628.1,7.17,1,39690,2012,34,875.05,1035.8479000000011
42,0,11,875.05,285.66,0.0,18.65,141.64,906.18,7.17,1,39690,2012,35,946.65,763.9475000000007
42,1,11,946.65,341.05,0.0,220.6,72.7,1629.72,7.17,1,39690,2012,36,608.88,990.2767999999998
42,0,11,608.88,745.27,0.0,46.65,0.0,945.84,7.17,1,39690,2012,37,585.47,941.0895000000012
42,0,11,585.47,0.0,0.0,0.0,0.0,164.08,7.17,1,39690,2012,38,754.96,939.6732000000012
42,0,11,754.96,123.87,0.0,0.0,0.0,548.02,7.17,1,39690,2012,39,706.03,807.6187999999999
42,0,11,706.03,479.07,0.0,6.0,10.64,2565.13,6.943,1,39690,2012,40,914.56,947.9695000000004
42,0,11,914.56,49.38,0.0,10.87,0.0,970.72,6.943,1,39690,2012,41,683.35,763.0511000000005
42,0,11,683.35,56.03,0.0,8.69,0.0,455.38,6.943,1,39690,2012,42,615.05,938.537200000001
